   Sno           Hi           Lo          Par    Estimates
1.000000    10.000000     0.000000   1.27504387   1.37913815
2.000000    10.000000     0.000000   5.45418479   5.34336147
3.000000    10.000000     0.000000   6.14099336   6.06311288
4.000000    10.000000     0.000000   3.15587091   3.42969963
5.000000    10.000000     0.000000   0.79468986   0.95410986
6.000000    10.000000     0.000000   3.85152972   3.63766894
7.000000    10.000000     0.000000   3.63836118   3.25808117
8.000000    10.000000     0.000000   7.19005112  -0.56220560
9.000000     0.500000     0.000000   0.15248341   0.14926561
10.000000    10.000000     0.000000   4.76127260   3.66984219
11.000000    10.000000     0.000000   4.87632563   6.98695229
12.000000    10.000000     0.000000   0.77866789   0.19018251
13.000000    10.000000     0.000000   9.02372778  13.65376198
14.000000    10.000000     0.000000   7.74990463   5.12398898
15.000000    10.000000     0.000000   7.64827955   8.91718332
16.000000    10.000000     0.000000   2.20096132   2.09912782
17.000000    10.000000     0.000000   6.67231250   1.72171944
18.000000    10.000000     0.000000   3.97268635   4.13729139
19.000000     5.000000     0.000000   4.15709163   4.03001536
20.000000     5.000000     0.000000   0.96261540   2.08642748
21.000000     5.000000     0.000000   2.81940948   2.40950633
22.000000     5.000000     0.000000   4.10017548   3.34889419
23.000000     5.000000     0.000000   1.32562753   1.25730554
24.000000     5.000000     0.000000   3.31769284   2.96740595
25.000000     1.000000     0.000000   0.79635309   3.05610994
26.000000     1.000000     0.000000   0.55161364   0.31836986
27.000000     1.000000     0.000000   0.19369802   0.19495529
28.000000     1.000000     0.000000   0.33626307   0.30591321
29.000000     5.000000     0.000000   4.88014038   2.94070753
30.000000     5.000000     0.000000   1.02624552   0.58543943
31.000000     5.000000     0.000000   3.31311513   3.82619785
32.000000     5.000000     0.000000   2.45410849   2.77361533
33.000000     5.000000     0.000000   1.46387427   1.09596813
