   Sno           Hi           Lo          Par    Estimates
1.000000    10.000000     0.000000   1.35545892   1.34825999
2.000000    10.000000     0.000000   3.10902571   3.11558157
3.000000    10.000000     0.000000   5.61959258   5.59375528
4.000000    10.000000     0.000000   6.48615244   6.55488287
5.000000    10.000000     0.000000   4.29755093   4.19515038
6.000000    10.000000     0.000000   3.27290761   3.32084958
7.000000    10.000000     0.000000   1.55642023   1.94327956
8.000000    10.000000     0.000000   8.99580377  13.15525680
9.000000     0.500000     0.000000   0.00343328   0.00338399
10.000000    10.000000     0.000000   7.17128252   4.09132194
11.000000    10.000000     0.000000   8.74876020   7.81017045
12.000000    10.000000     0.000000   3.81857023   5.61573052
13.000000    10.000000     0.000000   2.07080186   3.58631650
14.000000    10.000000     0.000000   8.51712825   8.58866242
15.000000    10.000000     0.000000   4.10116732   4.59411698
16.000000    10.000000     0.000000   7.87258717   2.48542484
17.000000    10.000000     0.000000   1.72396429   1.89728423
18.000000    10.000000     0.000000   4.28137636   4.02463923
19.000000     5.000000     0.000000   2.96696422   2.93998384
20.000000     5.000000     0.000000   4.05104143   4.88387981
21.000000     5.000000     0.000000   4.95101854   3.58544028
22.000000     5.000000     0.000000   1.10246433   1.15786168
23.000000     5.000000     0.000000   3.19714656   2.33384943
24.000000     5.000000     0.000000   0.58709087   0.68949385
25.000000     1.000000     0.000000   0.37729458   0.40099072
26.000000     1.000000     0.000000   0.44295415   0.29770104
27.000000     1.000000     0.000000   0.15465019   0.11138801
28.000000     1.000000     0.000000   0.67830930   0.59748523
29.000000     5.000000     0.000000   1.05073625   1.36306130
30.000000     5.000000     0.000000   2.64148928   2.99600077
31.000000     5.000000     0.000000   1.04798962   1.16800387
32.000000     5.000000     0.000000   3.88929580   3.67961139
33.000000     5.000000     0.000000   2.25696193   1.35505272
