   Sno           Hi           Lo          Par    Estimates
1.000000    10.000000     0.000000   1.87563897   1.30726896
2.000000    10.000000     0.000000   2.25391012   1.55292082
3.000000    10.000000     0.000000   1.70122835   2.43316663
4.000000    10.000000     0.000000   5.82131685   6.51954738
5.000000    10.000000     0.000000   9.75616083   9.01255905
6.000000    10.000000     0.000000   6.99977111   6.27569203
7.000000    10.000000     0.000000   2.51361868   2.17266236
8.000000    10.000000     0.000000   0.85145342   0.73524446
9.000000     0.500000     0.000000   0.08029297  -0.00301272
10.000000    10.000000     0.000000   4.36835279   1.06784074
11.000000    10.000000     0.000000   0.86213474  -0.84603629
12.000000    10.000000     0.000000   5.94903487   6.46588580
13.000000    10.000000     0.000000   9.87533379  13.06359497
14.000000    10.000000     0.000000   4.66102083   4.31738132
15.000000    10.000000     0.000000   0.13412680   0.32923684
16.000000    10.000000     0.000000   3.78667887   3.54378945
17.000000    10.000000     0.000000   4.07904173   4.35244957
18.000000    10.000000     0.000000   5.77599756  10.11963001
19.000000     5.000000     0.000000   0.09086748   0.13284394
20.000000     5.000000     0.000000   1.12672618  -1.73476024
21.000000     5.000000     0.000000   4.35782406   5.43332936
22.000000     5.000000     0.000000   1.86366064   7.79301091
23.000000     5.000000     0.000000   2.95269703   3.52912026
24.000000     5.000000     0.000000   2.71892882   2.05040934
25.000000     1.000000     0.000000   0.01805142   0.00221777
26.000000     1.000000     0.000000   0.74805829   0.47898374
27.000000     1.000000     0.000000   0.20852979   0.13575167
28.000000     1.000000     0.000000   0.04316777  -0.03484083
29.000000     5.000000     0.000000   1.29335470   2.33186672
30.000000     5.000000     0.000000   3.82841230   4.28110733
31.000000     5.000000     0.000000   2.21087968   4.11549001
32.000000     5.000000     0.000000   1.73373007   4.71553124
33.000000     5.000000     0.000000   2.32448310   2.90223322
